City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Margate,GB,51.3813,1.3862,71.31,64,20,14.23,few clouds
164,Nova Vicosa,BR,-17.8919,-39.3719,78.04,62,31,11.83,scattered clouds
165,Klaksvik,FO,62.2266,-6.589,52.72,94,100,7.38,light rain
166,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,20,8.05,few clouds
167,Senador Jose Porfirio,BR,-2.5908,-51.9542,87.03,52,26,4.16,scattered clouds
168,Houston,US,29.7633,-95.3633,91.35,70,75,9.22,broken clouds
169,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,17.27,scattered clouds
170,Hamilton,US,39.1834,-84.5333,72.91,90,100,12.66,mist
171,Caravelas,BR,-17.7125,-39.2481,78.67,58,4,10.36,clear sky
172,Buala,SB,-8.145,159.5921,79.2,80,91,7.67,overcast clouds
173,Samarai,PG,-10.6167,150.6667,81.21,79,18,9.69,few clouds
174,Phuket,TH,8.0,98.25,86.13,93,40,0.0,scattered clouds
175,Rumoi,JP,43.9344,141.6428,66.56,93,41,6.04,scattered clouds
176,Kruisfontein,ZA,-34.0033,24.7314,76.89,23,0,17.45,clear sky
177,Saskylakh,RU,71.9167,114.0833,52.52,69,94,7.78,overcast clouds
178,San Quintin,MX,30.4833,-115.95,68.72,78,28,10.0,scattered clouds
179,Am Timan,TD,11.0297,20.2827,85.12,51,49,9.44,light rain
180,Yellowknife,CA,62.456,-114.3525,60.57,100,100,12.66,light intensity shower rain
181,Eyl,SO,7.9803,49.8164,84.45,51,100,27.98,overcast clouds
182,Beringovskiy,RU,63.05,179.3167,49.01,92,100,11.92,overcast clouds
183,Labuhan,ID,-6.8844,112.2051,76.37,81,12,7.67,few clouds
184,Kavieng,PG,-2.5744,150.7967,82.27,72,17,16.75,few clouds
185,Sanmenxia,CN,34.7747,111.1814,86.81,59,6,8.19,clear sky
186,Srednekolymsk,RU,67.45,153.6833,45.45,80,69,4.65,broken clouds
187,Coquimbo,CL,-29.9533,-71.3436,56.93,71,75,4.61,broken clouds
188,Arrifes,PT,37.7667,-25.7,73.24,68,75,12.66,broken clouds
189,Kawalu,ID,-7.3817,108.2082,67.91,95,13,1.68,few clouds
190,Kudahuvadhoo,MV,2.6708,72.8944,83.08,75,67,13.31,broken clouds
191,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,66,52,8.79,broken clouds
192,Makakilo City,US,21.3469,-158.0858,73.72,82,100,10.36,overcast clouds
193,Saldanha,ZA,-33.0117,17.9442,57.25,88,70,18.63,light rain
194,Kamenka,RU,51.3223,42.7678,81.14,47,100,7.27,overcast clouds
195,Bud,US,39.447,-86.1758,76.19,84,100,9.64,overcast clouds
196,Mandan,US,46.8267,-100.8896,66.18,100,100,10.36,light rain
197,Guangyuan,CN,32.442,105.823,80.37,81,97,1.83,overcast clouds
198,Emerald,AU,-23.5333,148.1667,45.34,74,0,10.83,clear sky
199,Cherskiy,RU,68.75,161.3,35.91,96,100,13.38,moderate rain
200,Padang,ID,-0.9492,100.3543,78.85,87,47,3.0,scattered clouds
201,Vanimo,PG,-2.6741,141.3028,77.56,90,75,4.83,broken clouds
202,Chokurdakh,RU,70.6333,147.9167,44.94,59,100,3.69,overcast clouds
203,Porto Walter,BR,-8.2686,-72.7439,85.39,59,27,3.13,scattered clouds
204,Sarahan,IN,31.5167,77.8,65.71,98,100,1.86,overcast clouds
205,Takhtamygda,RU,54.1,123.5667,60.93,95,85,3.78,overcast clouds
206,Perehonivka,UA,48.5355,30.5192,75.99,48,100,17.0,overcast clouds
207,Anchorage,US,61.2181,-149.9003,61.86,79,75,6.91,broken clouds
208,Salinopolis,BR,-0.6136,-47.3561,82.72,73,8,11.48,clear sky
209,Orocue,CO,4.7912,-71.3354,79.97,74,99,5.41,overcast clouds
210,Lianzhou,CN,24.7811,112.3825,78.31,95,9,2.48,clear sky
211,Marica,BR,-22.9194,-42.8186,76.95,57,3,5.37,clear sky
212,Necochea,AR,-38.5473,-58.7368,51.26,85,98,12.15,overcast clouds
213,Lander,US,42.833,-108.7307,83.98,23,0,3.44,clear sky
214,Sitka,US,57.0531,-135.33,57.09,88,100,0.0,overcast clouds
215,Muli,MV,2.9167,73.5667,82.83,76,80,14.38,broken clouds
216,Muravlenko,RU,63.7898,74.523,73.2,46,5,12.35,clear sky
217,Tongliao,CN,43.6125,122.2653,71.62,55,98,9.31,overcast clouds
