City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
100,Bonfim,BR,84.47,scattered clouds,3.0833,-59.95,
101,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
103,Oktyabrskoye,RU,75.34,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
104,Yumen,CN,82.89,clear sky,40.2833,97.2,
105,Kariapatti,IN,86.52,moderate rain,9.6751,78.0999,Aruppukottai Nadar Uravinmurai Lodge
109,Atuona,PF,76.62,scattered clouds,-9.8,-139.0333,Villa Enata
114,Katsuura,JP,75.58,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
116,Correntina,BR,83.53,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
118,Masuri,KR,78.35,scattered clouds,35.8488,128.1492,가야힐리언스 펜션
120,Hithadhoo,MV,82.65,scattered clouds,-0.6,73.0833,Scoop Guest House
125,Ponta Do Sol,PT,75.83,clear sky,32.6667,-17.1,Hotel do Campo
126,Kirksville,US,75.81,clear sky,40.1948,-92.5833,Budget Host-Village Inn
133,Lorengau,PG,81.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
134,Tateyama,JP,79.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
135,Poum,NC,77.34,few clouds,-20.2333,164.0167,
136,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
138,Lianyuan,CN,82.31,clear sky,27.6883,111.6642,Lianyuan Hotel
142,Bengkulu,ID,76.82,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
143,Muros,ES,86.09,few clouds,42.7762,-9.0603,Apartment Av. Castelao
145,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
146,Bethel,US,80.96,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
157,Harper,LR,78.1,overcast clouds,4.375,-7.7169,Screensaver
160,Key Largo,US,89.01,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
162,Manono,CD,89.11,few clouds,-7.3,27.4167,Hotel hewa bora
164,Nova Vicosa,BR,78.04,scattered clouds,-17.8919,-39.3719,Pousada Porto do Sol
166,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
167,Senador Jose Porfirio,BR,87.03,scattered clouds,-2.5908,-51.9542,Pousada Novo Horizonte
171,Caravelas,BR,78.67,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
172,Buala,SB,79.2,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
173,Samarai,PG,81.21,few clouds,-10.6167,150.6667,Nuli Sapi
174,Phuket,TH,86.13,scattered clouds,8.0,98.25,The Surin
176,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
179,Am Timan,TD,85.12,light rain,11.0297,20.2827,Palais du chef Canton Salamt
181,Eyl,SO,84.45,overcast clouds,7.9803,49.8164,Amiin Hotel
183,Labuhan,ID,76.37,few clouds,-6.8844,112.2051,DoubleFAG
184,Kavieng,PG,82.27,few clouds,-2.5744,150.7967,Nusa Island Retreat
185,Sanmenxia,CN,86.81,clear sky,34.7747,111.1814,Pengzhou Hotel
190,Kudahuvadhoo,MV,83.08,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
191,Vila Franca Do Campo,PT,75.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
194,Kamenka,RU,81.14,overcast clouds,51.3223,42.7678,
195,Bud,US,76.19,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
197,Guangyuan,CN,80.37,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
200,Padang,ID,78.85,scattered clouds,-0.9492,100.3543,Mercure Padang
201,Vanimo,PG,77.56,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
203,Porto Walter,BR,85.39,scattered clouds,-8.2686,-72.7439,Hotel Silva
206,Perehonivka,UA,75.99,overcast clouds,48.5355,30.5192,
208,Salinopolis,BR,82.72,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
209,Orocue,CO,79.97,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
210,Lianzhou,CN,78.31,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
211,Marica,BR,76.95,clear sky,-22.9194,-42.8186,Marica Hills
213,Lander,US,83.98,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
215,Muli,MV,82.83,broken clouds,2.9167,73.5667,Medhufushi Island Resort
218,Ohara,JP,75.2,overcast clouds,35.25,140.3833,Sakigake
221,Clinton,US,76.28,scattered clouds,42.587,-82.9199,River's Edge
223,Kahului,US,75.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
226,Kalmunai,LK,85.93,overcast clouds,7.4167,81.8167,VS Villa
227,Xinyang,CN,82.51,scattered clouds,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
233,Aden,YE,87.58,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
234,Nantucket,US,75.34,clear sky,41.2835,-70.0995,Jared Coffin House
236,Port Alfred,ZA,77.18,clear sky,-33.5906,26.891,The Halyards Hotel
240,Luwuk,ID,76.03,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
241,Tautira,PF,76.15,light rain,-17.7333,-149.15,Pension Oaoa
242,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
243,Bonthe,SL,80.46,light rain,7.5264,-12.505,Bonthe Holiday Village
249,Monchique,PT,82.15,clear sky,37.3177,-8.5553,Estalagem Abrigo da Montanha
251,Ruy Barbosa,BR,77.52,broken clouds,-12.2839,-40.4939,Flats em Ruy Barbosa - BA
253,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
254,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
255,Coahuayana,MX,81.55,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
